,,,,,,,
en dégré , en radians , COSINUS , SINUS , TANGENTE , ARCcos , ARCsin , ARCtan
262, 4.572763 , -0.139173 , -0.990268 , 7.115370 , nan , nan , 1.355500
263, 4.590216 , -0.121869 , -0.992546 , 8.144346 , nan , nan , 1.356293
264, 4.607669 , -0.104528 , -0.994522 , 9.514364 , nan , nan , 1.357081
265, 4.625123 , -0.087156 , -0.996195 , 11.430052 , nan , nan , 1.357863
266, 4.642576 , -0.069756 , -0.997564 , 14.300666 , nan , nan , 1.358640
267, 4.660029 , -0.052336 , -0.998630 , 19.081137 , nan , nan , 1.359411
268, 4.677482 , -0.034899 , -0.999391 , 28.636253 , nan , nan , 1.360177
269, 4.694936 , -0.017452 , -0.999848 , 57.289962 , nan , nan , 1.360937
270, 4.712389 , -0.000000 , -1.000000 , 840721452639.448608 , nan , nan , 1.361692
271, 4.729842 , 0.017452 , -0.999848 , -57.289962 , nan , nan , 1.362441
272, 4.747296 , 0.034899 , -0.999391 , -28.636253 , nan , nan , 1.363185
273, 4.764749 , 0.052336 , -0.998630 , -19.081137 , nan , nan , 1.363924
274, 4.782202 , 0.069756 , -0.997564 , -14.300666 , nan , nan , 1.364658
275, 4.799655 , 0.087156 , -0.996195 , -11.430052 , nan , nan , 1.365387
276, 4.817109 , 0.104528 , -0.994522 , -9.514364 , nan , nan , 1.366110
277, 4.834562 , 0.121869 , -0.992546 , -8.144346 , nan , nan , 1.366829
278, 4.852015 , 0.139173 , -0.990268 , -7.115370 , nan , nan , 1.367542
279, 4.869469 , 0.156434 , -0.987688 , -6.313752 , nan , nan , 1.368251
280, 4.886922 , 0.173648 , -0.984808 , -5.671282 , nan , nan , 1.368955
281, 4.904375 , 0.190809 , -0.981627 , -5.144554 , nan , nan , 1.369654
282, 4.921828 , 0.207912 , -0.978148 , -4.704630 , nan , nan , 1.370348
283, 4.939282 , 0.224951 , -0.974370 , -4.331476 , nan , nan , 1.371038
284, 4.956735 , 0.241922 , -0.970296 , -4.010781 , nan , nan , 1.371723
